riding_code,riding_name,province,region,LPC_pct,CPC_pct,NDP_pct,BQ_pct,GPC_pct,PPC_pct,winner,total_votes
35093,Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est,Ontario,ON,57.31,38.07,3.25,0.0,0.0,1.37,LPC,48088
35094,Scarborough--Guildwood--Rouge Park,Ontario,ON,63.96,31.68,3.21,0.0,1.15,0.0,LPC,55185
35095,Scarborough North/Scarborough-Nord,Ontario,ON,62.95,33.14,3.91,0.0,0.0,0.0,LPC,46732
35096,Scarborough Southwest/Scarborough-Sud-Ouest,Ontario,ON,61.49,30.57,5.01,0.0,1.38,1.04,LPC,54476
35097,Scarborough--Woburn,Ontario,ON,60.38,34.13,3.5,0.0,1.19,0.0,LPC,41868
35098,Simcoe--Grey,Ontario,ON,43.38,52.08,2.32,0.0,1.46,0.77,CPC,67907
35099,Simcoe North/Simcoe-Nord,Ontario,ON,44.69,48.41,3.77,0.0,1.89,0.96,CPC,66605
35100,Spadina--Harbourfront,Ontario,ON,60.07,30.73,7.75,0.0,0.85,0.36,LPC,52990
35101,St. Catharines,Ontario,ON,52.01,40.43,6.02,0.0,0.0,0.78,LPC,66810
35102,Stormont--Dundas--Glengarry,Ontario,ON,39.77,56.32,2.49,0.0,1.01,0.0,CPC,66407
35103,Sudbury,Ontario,ON,51.86,39.18,7.69,0.0,0.0,1.27,LPC,60839
35104,Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt,Ontario,ON,41.57,48.33,7.99,0.0,0.77,0.81,CPC,60323
35105,Taiaiako'n--Parkdale--High Park,Ontario,ON,55.79,19.39,22.97,0.0,1.07,0.0,LPC,65313
35106,Thornhill,Ontario,ON,31.19,66.38,1.24,0.0,0.53,0.66,CPC,66918
35107,Thunder Bay--Rainy River,Ontario,ON,48.53,42.92,6.79,0.0,0.77,0.99,LPC,43531
35108,Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord,Ontario,ON,55.22,35.74,7.11,0.0,0.92,1.01,LPC,45512
35109,Toronto Centre/Toronto-Centre,Ontario,ON,64.33,20.91,12.49,0.0,1.13,0.4,LPC,58922
35110,Toronto--Danforth,Ontario,ON,66.56,19.0,12.95,0.0,1.06,0.0,LPC,58881
35111,Toronto--St. Paul's,Ontario,ON,61.91,33.11,3.49,0.0,0.77,0.46,LPC,71581
35112,University--Rosedale,Ontario,ON,64.0,23.49,9.91,0.0,1.71,0.0,LPC,62265
35113,Vaughan--Woodbridge,Ontario,ON,38.03,60.01,1.32,0.0,0.0,0.63,CPC,67355
35114,Waterloo,Ontario,ON,59.47,32.55,4.14,0.0,2.53,0.55,LPC,63193
35115,Wellington--Halton Hills North/Wellington--Halton Hills-Nord,Ontario,ON,44.43,50.62,2.02,0.0,2.08,0.85,CPC,66646
35116,Whitby,Ontario,ON,52.7,43.82,2.42,0.0,0.75,0.0,LPC,67594
35117,Willowdale,Ontario,ON,53.45,43.99,2.57,0.0,0.0,0.0,LPC,47689
35118,Windsor--Tecumseh--Lakeshore,Ontario,ON,45.75,45.75,6.05,0.0,0.67,1.18,CPC,70138
35119,Windsor West/Windsor-Ouest,Ontario,ON,30.95,39.01,27.79,0.0,0.72,1.01,CPC,54888
35120,York Centre/York-Centre,Ontario,ON,42.67,54.83,2.5,0.0,0.0,0.0,CPC,47619
35121,York--Durham,Ontario,ON,39.58,55.56,2.52,0.0,1.1,1.24,CPC,72582
35122,York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke,Ontario,ON,55.3,39.79,4.91,0.0,0.0,0.0,LPC,44599
46001,Brandon--Souris,Manitoba,MB_SK,23.39,62.19,14.42,0.0,0.0,0.0,CPC,46027
46002,Churchill--Keewatinook Aski,Manitoba,MB_SK,45.5,24.07,28.73,0.0,0.0,1.71,LPC,20469
46003,Elmwood--Transcona,Manitoba,MB_SK,22.45,41.56,34.46,0.0,0.69,0.85,CPC,46830
46004,Kildonan--St. Paul,Manitoba,MB_SK,44.68,47.48,6.96,0.0,0.0,0.88,CPC,55521
