riding_code,riding_name,province,projected_winner,Share_LPC,Share_CPC,Share_NDP,Share_BQ,Share_GPC,Share_PPC
24078,Vimy,Quebec,LPC,56.1,19.5,5.4,16.3,2.2,0.4
35001,Ajax,Ontario,LPC,56.7,28.5,11.7,0.0,2.7,0.5
35002,Algonquin--Renfrew--Pembroke,Ontario,CPC,36.4,48.8,10.6,0.0,2.9,1.3
35003,Aurora--Oak Ridges--Richmond Hill,Ontario,CPC,40.5,50.0,6.3,0.0,1.7,1.5
35004,Barrie South--Innisfil/Barrie-Sud--Innisfil,Ontario,CPC,35.8,50.0,9.9,0.0,2.0,2.3
35005,Barrie--Springwater--Oro-Medonte,Ontario,LPC,44.0,38.6,12.1,0.0,3.6,1.7
35006,Bay of Quinte,Ontario,LPC,50.7,34.2,10.6,0.0,3.3,1.3
35007,Beaches--East York,Ontario,LPC,66.4,15.4,14.0,0.0,3.3,1.0
35008,Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord,Ontario,LPC,44.5,41.3,10.0,0.0,2.8,1.4
35009,Brampton Centre/Brampton-Centre,Ontario,LPC,56.0,33.5,6.9,0.0,2.4,1.2
35010,Brampton--Chinguacousy Park,Ontario,LPC,49.6,34.5,9.8,0.0,3.2,3.0
35011,Brampton East/Brampton-Est,Ontario,LPC,55.7,31.6,5.5,0.0,1.2,6.0
35012,Brampton North--Caledon/Brampton-Nord--Caledon,Ontario,LPC,48.6,37.4,9.2,0.0,2.1,2.7
35013,Brampton South/Brampton-Sud,Ontario,LPC,53.8,37.3,5.1,0.0,1.6,2.2
35014,Brampton West/Brampton-Ouest,Ontario,LPC,54.7,37.3,5.2,0.0,1.8,1.1
35015,Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations,Ontario,CPC,39.3,44.7,10.5,0.0,3.6,1.9
35016,Bruce--Grey--Owen Sound,Ontario,CPC,37.6,44.8,11.1,0.0,4.2,2.4
35017,Burlington,Ontario,LPC,58.5,29.1,7.6,0.0,3.0,1.8
35018,Burlington North--Milton West/Burlington-Nord--Milton-Ouest,Ontario,LPC,53.3,33.5,9.0,0.0,2.1,2.1
35019,Cambridge,Ontario,LPC,49.9,36.9,7.1,0.0,4.4,1.7
35020,Carleton,Ontario,LPC,50.2,36.3,10.0,0.0,2.6,0.9
35021,Chatham-Kent--Leamington,Ontario,CPC,33.6,52.5,7.3,0.0,2.5,4.1
35022,Davenport,Ontario,LPC,58.4,12.9,24.8,0.0,2.9,1.0
35023,Don Valley North/Don Valley-Nord,Ontario,LPC,52.6,34.6,8.9,0.0,2.4,1.4
35024,Don Valley West/Don Valley-Ouest,Ontario,LPC,65.6,23.0,7.9,0.0,2.6,0.8
35025,Dufferin--Caledon,Ontario,CPC,37.2,50.3,4.7,0.0,5.1,2.7
35026,Eglinton--Lawrence,Ontario,LPC,51.3,36.4,7.6,0.0,3.1,1.6
35027,Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud,Ontario,CPC,41.4,41.7,11.7,0.0,2.1,3.2
35028,Essex,Ontario,CPC,34.4,51.0,9.8,0.0,1.8,3.0
35029,Etobicoke Centre/Etobicoke-Centre,Ontario,LPC,52.3,34.0,10.5,0.0,1.5,1.6
35030,Etobicoke--Lakeshore,Ontario,LPC,58.3,26.6,10.5,0.0,2.6,2.0
35031,Etobicoke North/Etobicoke-Nord,Ontario,LPC,59.1,29.0,7.0,0.0,1.8,3.1
35032,Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord,Ontario,CPC,41.3,44.5,9.3,0.0,2.9,2.0
35033,Guelph,Ontario,LPC,54.4,15.8,16.0,0.0,12.0,1.8
35034,Haldimand--Norfolk,Ontario,CPC,35.8,52.7,5.9,0.0,2.5,3.1
35035,Haliburton--Kawartha Lakes,Ontario,CPC,37.3,49.3,7.5,0.0,3.1,2.8
35036,Hamilton Centre/Hamilton-Centre,Ontario,NDP,37.2,18.9,38.0,0.0,3.5,2.4
35037,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,Ontario,LPC,49.0,36.7,8.7,0.0,2.7,2.9
35038,Hamilton Mountain,Ontario,LPC,46.2,33.0,15.9,0.0,2.6,2.3
35039,Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,Ontario,LPC,56.1,25.3,13.7,0.0,3.4,1.5
35040,Hastings--Lennox and Addington--Tyendinaga,Ontario,CPC,38.2,46.4,10.3,0.0,3.1,1.8
35041,Humber River--Black Creek,Ontario,LPC,61.4,24.8,9.3,0.0,1.8,2.8
35042,Huron--Bruce,Ontario,CPC,38.1,45.5,12.5,0.0,2.2,1.6
35043,Kanata,Ontario,LPC,61.7,24.9,9.1,0.0,3.1,1.3
35044,Kapuskasing--Timmins--Mushkegowuk,Ontario,CPC,37.1,40.9,17.0,0.0,2.1,3.0
35045,Kenora--Kiiwetinoong,Ontario,CPC,33.4,41.2,20.3,0.0,3.0,2.0
35046,Kingston and the Islands/Kingston et les Îles,Ontario,LPC,61.0,16.4,18.2,0.0,3.5,0.9
35047,King--Vaughan,Ontario,CPC,36.6,54.6,4.7,0.0,2.4,1.8
35048,Kitchener Centre/Kitchener-Centre,Ontario,GPC,26.0,24.7,14.6,0.0,32.7,2.0
35049,Kitchener--Conestoga,Ontario,LPC,45.0,39.0,9.7,0.0,3.6,2.7
35050,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,Ontario,LPC,43.9,36.0,13.4,0.0,4.6,2.1
35051,Lanark--Frontenac,Ontario,LPC,44.0,41.6,9.9,0.0,3.1,1.3
35052,Leeds--Grenville--Thousand Islands--Rideau Lakes,Ontario,LPC,42.8,41.4,10.4,0.0,3.2,2.2
35053,London Centre/London-Centre,Ontario,LPC,57.8,20.5,16.2,0.0,3.4,2.1
35054,London--Fanshawe,Ontario,NDP,27.5,32.5,35.5,0.0,1.5,3.0
35055,London West/London-Ouest,Ontario,LPC,56.4,23.4,17.0,0.0,1.9,1.3
35056,Markham--Stouffville,Ontario,LPC,54.8,31.0,10.2,0.0,2.3,1.7
35057,Markham--Thornhill,Ontario,LPC,54.8,33.4,7.7,0.0,2.1,2.0
35058,Markham--Unionville,Ontario,CPC,45.3,46.2,5.1,0.0,3.0,0.4
35059,Middlesex--London,Ontario,CPC,40.3,43.7,11.0,0.0,3.0,2.1
35060,Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud,Ontario,LPC,47.7,38.5,8.7,0.0,3.1,2.1
35061,Mississauga Centre/Mississauga-Centre,Ontario,LPC,53.2,33.1,9.6,0.0,2.0,2.1
35062,Mississauga East--Cooksville/Mississauga-Est--Cooksville,Ontario,LPC,49.4,36.8,9.4,0.0,1.3,3.1
35063,Mississauga--Erin Mills,Ontario,LPC,56.2,30.9,8.5,0.0,2.3,2.1
35064,Mississauga--Lakeshore,Ontario,LPC,52.3,34.8,8.5,0.0,2.8,1.6
35065,Mississauga--Malton,Ontario,LPC,57.4,27.6,10.5,0.0,2.2,2.4
35066,Mississauga--Streetsville,Ontario,LPC,51.0,34.3,10.5,0.0,2.6,1.6
35067,Nepean,Ontario,LPC,58.9,25.4,12.0,0.0,2.6,1.2
35068,Newmarket--Aurora,Ontario,LPC,45.8,42.3,8.2,0.0,2.5,1.2
35069,New Tecumseth--Gwillimbury,Ontario,CPC,34.9,51.5,8.7,0.0,3.0,2.0
35070,Niagara Falls--Niagara-on-the-Lake,Ontario,LPC,43.7,40.5,10.9,0.0,2.9,2.1
35071,Niagara South/Niagara-Sud,Ontario,LPC,42.7,39.0,12.6,0.0,2.9,2.8
35072,Niagara West/Niagara-Ouest,Ontario,CPC,40.4,45.7,8.6,0.0,2.9,2.3
35073,Nipissing--Timiskaming,Ontario,LPC,49.6,30.3,15.3,0.0,2.4,2.5
35074,Northumberland--Clarke,Ontario,LPC,44.9,40.1,10.0,0.0,2.9,2.1
35075,Oakville East/Oakville-Est,Ontario,LPC,51.5,34.3,9.7,0.0,2.6,1.9
35076,Oakville West/Oakville-Ouest,Ontario,LPC,53.7,33.7,8.3,0.0,2.6,1.7
35077,Orléans,Ontario,LPC,63.6,20.9,12.0,0.0,2.3,1.2
35078,Oshawa,Ontario,CPC,41.0,41.0,13.7,0.0,2.7,1.6
35079,Ottawa Centre/Ottawa-Centre,Ontario,LPC,60.1,6.1,29.6,0.0,3.3,0.8
35080,Ottawa South/Ottawa-Sud,Ontario,LPC,61.9,18.4,16.0,0.0,2.8,1.0
35081,Ottawa--Vanier--Gloucester,Ontario,LPC,68.7,11.3,14.3,0.0,3.9,1.8
35082,Ottawa West--Nepean/Ottawa-Ouest--Nepean,Ontario,LPC,62.8,19.7,12.7,0.0,3.2,1.6
35083,Oxford,Ontario,CPC,36.0,50.4,7.2,0.0,3.5,2.9
35084,Parry Sound--Muskoka,Ontario,LPC,38.5,37.9,15.8,0.0,4.5,3.2
35085,Perth--Wellington,Ontario,CPC,37.0,44.0,13.5,0.0,2.1,3.4
35086,Peterborough,Ontario,LPC,55.4,30.3,9.9,0.0,2.8,1.6
35087,Pickering--Brooklin,Ontario,LPC,55.2,30.4,9.4,0.0,2.7,2.2
35088,Prescott--Russell--Cumberland,Ontario,LPC,55.8,29.6,9.3,0.0,3.1,2.3
35089,Richmond Hill South/Richmond Hill-Sud,Ontario,CPC,42.7,44.0,8.7,0.0,2.8,1.7
35090,Sarnia--Lambton--Bkejwanong,Ontario,CPC,36.6,46.3,12.3,0.0,2.1,2.8
35091,Sault Ste. Marie--Algoma,Ontario,LPC,47.4,34.7,13.7,0.0,2.9,1.3
35092,Scarborough--Agincourt,Ontario,LPC,53.7,34.6,9.0,0.0,1.9,0.9
35093,Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est,Ontario,LPC,58.2,27.2,10.0,0.0,2.0,2.6
35094,Scarborough--Guildwood--Rouge Park,Ontario,LPC,64.7,21.0,10.0,0.0,3.1,1.3
35095,Scarborough North/Scarborough-Nord,Ontario,LPC,64.7,27.1,6.0,0.0,1.2,0.9
35096,Scarborough Southwest/Scarborough-Sud-Ouest,Ontario,LPC,62.5,22.2,10.4,0.0,3.1,1.9
35097,Scarborough--Woburn,Ontario,LPC,61.7,23.5,10.3,0.0,3.1,1.3
35098,Simcoe--Grey,Ontario,CPC,40.8,41.7,10.6,0.0,4.6,2.3
35099,Simcoe North/Simcoe-Nord,Ontario,CPC,41.1,41.5,10.9,0.0,4.0,2.5
35100,Spadina--Harbourfront,Ontario,LPC,61.1,20.1,14.4,0.0,2.8,1.6
35101,St. Catharines,Ontario,LPC,52.4,31.0,11.8,0.0,2.5,2.3
35102,Stormont--Dundas--Glengarry,Ontario,CPC,38.3,52.4,4.8,0.0,2.8,1.7
35103,Sudbury,Ontario,LPC,57.0,21.1,16.2,0.0,2.9,2.8
35104,Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt,Ontario,CPC,40.1,40.1,14.9,0.0,2.8,2.1
35105,Taiaiako'n--Parkdale--High Park,Ontario,LPC,57.2,9.2,29.2,0.0,3.0,1.3
35106,Thornhill,Ontario,CPC,29.9,61.9,4.1,0.0,2.2,1.9
35107,Thunder Bay--Rainy River,Ontario,LPC,49.2,34.1,11.9,0.0,2.4,2.5
35108,Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord,Ontario,LPC,50.5,26.1,18.5,0.0,2.8,2.1
35109,Toronto Centre/Toronto-Centre,Ontario,LPC,60.2,12.5,22.3,0.0,3.7,1.2
