riding_code,riding_name,province,region,LPC_e,CPC_e,NDP_e,BQ_e,GPC_e,PPC_e,n_obs
35022,Davenport,Ontario,ON,1.0818,0.9785,1.2322,1.0,0.8556,0.7856,2
35023,Don Valley North/Don Valley-Nord,Ontario,ON,0.1073,0.5426,0.9929,1.0,0.826,0.751,2
35024,Don Valley West/Don Valley-Ouest,Ontario,ON,1.0977,1.0238,0.7798,1.0,0.7712,0.6168,2
35025,Dufferin--Caledon,Ontario,ON,0.9086,1.7451,0.3298,1.0,1.6511,1.0992,2
35026,Eglinton--Lawrence,Ontario,ON,1.0581,1.3108,0.7807,1.0,1.1109,0.7092,2
35027,Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35028,Essex,Ontario,ON,1.4904,0.9037,0.7369,1.0,0.8947,1.5599,2
35029,Etobicoke Centre/Etobicoke-Centre,Ontario,ON,1.0753,0.7889,1.2402,1.0,0.7403,1.2859,2
35030,Etobicoke--Lakeshore,Ontario,ON,1.2844,1.1509,1.1586,1.0,1.2645,0.8734,2
35031,Etobicoke North/Etobicoke-Nord,Ontario,ON,0.4554,1.37,0.4761,1.0,0.3606,0.6583,2
35032,Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35033,Guelph,Ontario,ON,0.5716,1.3872,1.964,1.0,1.2857,0.8894,2
35034,Haldimand--Norfolk,Ontario,ON,0.3987,0.8536,0.3606,1.0,0.7286,1.6313,2
35035,Haliburton--Kawartha Lakes,Ontario,ON,1.2379,1.0705,0.5754,1.0,1.5088,1.1585,2
35036,Hamilton Centre/Hamilton-Centre,Ontario,ON,1.0209,1.0113,1.5472,1.0,1.1091,1.0844,2
35037,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,Ontario,ON,0.921,1.5273,0.6244,1.0,1.2213,1.2156,2
35038,Hamilton Mountain,Ontario,ON,0.4733,0.8231,0.596,1.0,1.2356,1.1305,2
35039,Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,Ontario,ON,1.0495,1.0211,1.2981,1.0,1.147,0.852,2
35040,Hastings--Lennox and Addington--Tyendinaga,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35041,Humber River--Black Creek,Ontario,ON,0.3323,1.1979,0.3628,1.0,0.8136,0.7778,2
35042,Huron--Bruce,Ontario,ON,1.7481,0.8795,1.3886,1.0,0.4539,1.2685,2
35043,Kanata,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35044,Kapuskasing--Timmins--Mushkegowuk,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35045,Kenora--Kiiwetinoong,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35046,Kingston and the Islands/Kingston et les Îles,Ontario,ON,1.659,1.3062,2.1102,1.0,1.1724,0.6974,2
35047,King--Vaughan,Ontario,ON,0.4874,1.2463,0.475,1.0,0.7229,0.8893,2
35048,Kitchener Centre/Kitchener-Centre,Ontario,ON,1.949,0.8464,1.9116,1.0,0.4897,1.1438,2
35049,Kitchener--Conestoga,Ontario,ON,0.7447,0.5928,1.0461,1.0,1.8117,1.2115,2
35050,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,Ontario,ON,1.026,1.1474,1.5246,1.0,1.3368,1.1547,2
35051,Lanark--Frontenac,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35052,Leeds--Grenville--Thousand Islands--Rideau Lakes,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35053,London Centre/London-Centre,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35054,London--Fanshawe,Ontario,ON,1.1131,0.8725,1.4954,1.0,0.7836,1.4308,2
35055,London West/London-Ouest,Ontario,ON,1.7522,1.2785,1.7199,1.0,0.6299,0.9748,2
35056,Markham--Stouffville,Ontario,ON,0.1536,1.5056,1.1391,1.0,0.771,0.7585,2
35057,Markham--Thornhill,Ontario,ON,-0.0595,0.6338,0.8576,1.0,1.037,0.5051,2
35058,Markham--Unionville,Ontario,ON,0.0995,0.4223,0.5555,1.0,1.0578,0.3092,2
35059,Middlesex--London,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35060,Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35061,Mississauga Centre/Mississauga-Centre,Ontario,ON,0.6115,0.6623,1.0546,1.0,0.9985,0.85,2
35062,Mississauga East--Cooksville/Mississauga-Est--Cooksville,Ontario,ON,0.8129,0.625,0.9829,1.0,0.6416,1.097,2
35063,Mississauga--Erin Mills,Ontario,ON,0.8739,0.7873,0.9385,1.0,0.8469,0.727,2
35064,Mississauga--Lakeshore,Ontario,ON,1.0779,0.8179,0.9755,1.0,0.9589,0.8767,2
35065,Mississauga--Malton,Ontario,ON,1.0336,1.5455,1.0642,1.0,0.9935,0.2542,2
35066,Mississauga--Streetsville,Ontario,ON,0.9438,0.9322,1.2104,1.0,0.9674,0.7993,2
35067,Nepean,Ontario,ON,1.0757,0.4487,1.6484,1.0,1.0933,0.7097,2
35068,Newmarket--Aurora,Ontario,ON,0.4367,0.8948,0.8343,1.0,1.1956,0.915,2
35069,New Tecumseth--Gwillimbury,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35070,Niagara Falls--Niagara-on-the-Lake,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35071,Niagara South/Niagara-Sud,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35072,Niagara West/Niagara-Ouest,Ontario,ON,1.0372,0.6649,0.8148,1.0,1.467,1.2159,2
35073,Nipissing--Timiskaming,Ontario,ON,0.9004,1.5535,1.2115,1.0,0.6268,0.9628,2
35074,Northumberland--Clarke,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35075,Oakville East/Oakville-Est,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35076,Oakville West/Oakville-Ouest,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35077,Orléans,Ontario,ON,1.1697,0.4944,1.5074,1.0,0.8603,0.679,2
35078,Oshawa,Ontario,ON,1.2901,0.8316,0.8859,1.0,0.7654,1.2426,2
35079,Ottawa Centre/Ottawa-Centre,Ontario,ON,1.324,0.9086,1.8054,1.0,1.2052,0.6513,2
35080,Ottawa South/Ottawa-Sud,Ontario,ON,1.3432,0.7005,1.6292,1.0,1.026,0.7756,2
35081,Ottawa--Vanier--Gloucester,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35082,Ottawa West--Nepean/Ottawa-Ouest--Nepean,Ontario,ON,1.0299,0.62,0.898,1.0,1.1254,0.7294,2
35083,Oxford,Ontario,ON,0.7826,0.4616,0.4505,1.0,1.1807,1.5896,2
35084,Parry Sound--Muskoka,Ontario,ON,2.1354,1.52,1.8627,1.0,2.2674,1.3442,2
35085,Perth--Wellington,Ontario,ON,1.2117,0.9151,1.3976,1.0,1.0641,1.5032,2
35086,Peterborough,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35087,Pickering--Brooklin,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35088,Prescott--Russell--Cumberland,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35089,Richmond Hill South/Richmond Hill-Sud,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35090,Sarnia--Lambton--Bkejwanong,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35091,Sault Ste. Marie--Algoma,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35092,Scarborough--Agincourt,Ontario,ON,0.0784,0.5852,0.9495,1.0,0.9401,0.6946,2
